50
02696300685;26963;RUA;ELISA;685;São Paulo;NORDESTE;31910300;613096.778609859;7802780.168814210
12451300312;124513;RUA;IPE MIRIM;312;Etelvina Carneiro;NORTE;31746110;611581.481980639;7809123.721832840
05024800256;50248;RUA;AUGUSTO MUNIZ;256;Cardoso;BARREIRO;30626380;603886.934810631;7787589.051009130
10808700026;108087;RUA;ELISA;26;Piratininga;VENDA NOVA;31573480;605949.613843289;7808549.496435840
17085000375;170850;RUA;MUNIZ;375;Santa Sofia;OESTE;30451392;608118.577441121;7793783.122716580
05024800380;50248;RUA;AUGUSTO MUNIZ;380;Cardoso;BARREIRO;30626380;603978.060136201;7787643.680168640
10071200023A;100712;RUA;CRISANTO MUNIZ;23;Rio Branco;VENDA NOVA;31535450;606757.546072342;7808645.707256060
00976800078;9768;RUA;ELISA DE CARVALHO POSSAS;78;Letícia;VENDA NOVA;31660310;607174.396473088;7809963.045655110
12451300580A;124513;RUA;IPE MIRIM;580;Etelvina Carneiro;NORTE;31746110;611801.482301796;7809119.362664590
10808700339;108087;RUA;ELISA;339;Piratininga;VENDA NOVA;31573480;605959.475923121;7808523.891508930
05024800331;50248;RUA;AUGUSTO MUNIZ;331;Cardoso;BARREIRO;30626380;603518.038462990;7787468.354982530
10071200031A;100712;RUA;CRISANTO MUNIZ;31;Rio Branco;VENDA NOVA;31535450;606747.115024667;7808660.444336880
10071200031B;100712;RUA;CRISANTO MUNIZ;31;Rio Branco;VENDA NOVA;31535450;606753.109784932;7808652.405929120
05024800601;50248;RUA;AUGUSTO MUNIZ;601;Cardoso;BARREIRO;30626380;603779.960889333;7787554.287914100
12451300255;124513;RUA;IPE MIRIM;255;Etelvina Carneiro;NORTE;31746110;611522.721777462;7809142.308157930
05024800640C;50248;RUA;AUGUSTO MUNIZ;640;Cardoso;BARREIRO;30626380;603737.379123000;7787582.862256160
17085000465;170850;RUA;MUNIZ;465;Santa Sofia;OESTE;30451392;608136.858552693;7793612.126605820
17085000215;170850;RUA;MUNIZ;215;Santa Sofia;OESTE;30451392;608072.227304641;7793820.855244470
05024800491;50248;RUA;AUGUSTO MUNIZ;491;Cardoso;BARREIRO;30626380;603901.348624972;7787593.180188720
10808700024A;108087;RUA;ELISA;24;Piratininga;VENDA NOVA;31573480;605959.123940747;7808547.843715360
05024800670A;50248;RUA;AUGUSTO MUNIZ;670;Cardoso;BARREIRO;30626380;603716.822119837;7787566.985405920
05024800452;50248;RUA;AUGUSTO MUNIZ;452;Cardoso;BARREIRO;30626380;603374.353849239;7787469.284817720
02696300099;26963;RUA;ELISA;99;Pirajá;NORDESTE;31910300;613197.485659896;7802827.489420800
10808700127A;108087;RUA;ELISA;127;Piratininga;VENDA NOVA;31573480;605627.525558229;7808442.735109910
17085000270;170850;RUA;MUNIZ;270;Santa Sofia;OESTE;30451392;608070.528649645;7793807.637864420
02696300040A;26963;RUA;ELISA;40;São Paulo;NORDESTE;31910300;613112.190173826;7802762.112390530
05024801040;50248;RUA;AUGUSTO MUNIZ;1040;Cardoso;BARREIRO;30626380;603423.078807975;7787478.832918580
09849900123;98499;RUA;JOSE VIEIRA MUNIZ;123;Floramar;NORTE;31742005;611231.155056910;7806896.613259920
05024800137;50248;RUA;AUGUSTO MUNIZ;137;Cardoso;BARREIRO;30626380;604008.932746118;7787657.697386070
10808700035;108087;RUA;ELISA;35;Piratininga;VENDA NOVA;31573480;605759.430645825;7808470.862046180
17085000550;170850;RUA;MUNIZ;550;Santa Sofia;OESTE;30451392;608109.853268983;7793630.582951550
